Datum,Liquide_Mittel,Sparvermoegen,Boerse,Private_Vorsorge,LPP
2021-05-01,7000,317000,49000,98000,234000
2021-06-01,6000,325000,50000,98000,237000
2021-07-01,9000,331000,50000,98000,239000
2021-08-01,12000,333000,51000,98000,240000
2021-09-01,12000,335000,51000,98000,242000
2021-10-01,16000,344000,50000,98000,244000
2021-11-01,19000,297000,100000,98000,246000
2021-12-01,22000,299000,100000,98000,248000
2022-01-01,34000,310000,101000,98000,250000
2022-02-01,15000,312000,100000,98000,253000
2022-03-01,11000,314000,100000,98000,255000
2022-04-01,12000,316000,100000,105000,261000
2022-05-01,13000,319000,100000,105000,263000
2022-06-01,15000,322000,100000,105000,265000
2022-07-01,16000,326000,100000,105000,268000
2022-08-01,19000,329000,100000,105000,270000
2022-09-01,20000,332000,100000,105000,272000
2022-10-01,22000,335000,100000,105000,274000
2022-11-01,23000,338000,100000,105000,276000
2022-12-01,24000,341000,100000,105000,278000
2023-01-01,40000,350000,100000,105000,280000
2023-02-01,17000,353000,100000,105000,282000
2023-03-01,18000,356000,100000,105000,284000
2023-04-01,19000,359000,100000,105000,286000
2023-05-01,10000,372000,100000,105000,289000
2023-06-01,9000,375000,100000,112000,292000
2023-07-01,13000,379000,100000,112000,294000
2023-08-01,14000,382000,100000,112000,296000
2023-09-01,15000,430000,100000,112000,298000
2023-10-01,16000,281000,100000,112000,301000
2023-11-01,17000,284000,100000,112000,303000
2023-12-01,19000,302000,100000,112000,305000
2024-01-01,23000,305000,100000,112000,307000
2024-02-01,10000,293000,100000,119000,310000
2024-03-01,11000,300000,100000,119000,315000
2024-04-01,81000,290000,100000,119000,317000
2024-05-01,15000,290000,100000,119000,319000
2024-06-01,14000,294000,100000,119000,322000
2024-07-01,17000,301000,100000,119000,325000
2024-08-01,14000,303000,100000,119000,327000
2024-09-01,17000,304000,100000,119000,329000
2024-10-01,18000,306000,100000,119000,332000
2024-11-01,24000,306000,100000,119000,334000
2024-12-01,26000,307000,100000,119000,335000
2025-01-01,16000,322000,100000,119000,344000
2025-02-01,6000,309000,100000,126000,347000
2025-03-01,6000,310000,109000,126000,349000
2025-04-01,7000,312000,109000,126000,351000
2025-05-01,5000,312000,104000,126000,354000
2025-06-01,6000,314000,107000,126000,357000
2025-07-01,7000,317000,106000,126000,360000
2025-08-01,10000,289000,138000,126000,362000
2025-09-01,8000,293000,139000,126000,364000
2025-10-01,7000,295000,138000,126000,366000
2025-11-01,7000,297000,141000,126000,368000
2025-12-01,9000,298000,140000,126000,371000
2026-01-01,17000,300000,143000,130000,380000
2026-02-01,17000,300000,143000,132000,382000
2026-03-01,11000,300000,146000,134000,384000
2026-04-01,11000,300000,141000,134000,386000
2026-05-01,9000,300000,148000,134000,390000
2026-06-01,14000,300000,153000,138000,392000
2026-07-01,18000,300000,163000,138000,392000
2026-08-01,14000,240000,197000,138000,392000
